speech,label
./kaggle/input\Dataset\angry\01_angry.wav,angry
./kaggle/input\Dataset\angry\02_angry.wav,angry
./kaggle/input\Dataset\angry\03_angry.wav,angry
./kaggle/input\Dataset\angry\04_angry.wav,angry
./kaggle/input\Dataset\angry\05_angry.wav,angry
./kaggle/input\Dataset\angry\06_angry.wav,angry
./kaggle/input\Dataset\angry\07_angry.wav,angry
./kaggle/input\Dataset\angry\08_angry.wav,angry
./kaggle/input\Dataset\angry\09_angry.wav,angry
./kaggle/input\Dataset\angry\100_angry.wav,angry
./kaggle/input\Dataset\angry\101_angry.wav,angry
./kaggle/input\Dataset\angry\102_angry.wav,angry
./kaggle/input\Dataset\angry\103_angry.wav,angry
./kaggle/input\Dataset\angry\104_angry.wav,angry
./kaggle/input\Dataset\angry\105_angry.wav,angry
./kaggle/input\Dataset\angry\106_angry.wav,angry
./kaggle/input\Dataset\angry\107_angry.wav,angry
./kaggle/input\Dataset\angry\108_angry.wav,angry
./kaggle/input\Dataset\angry\109_angry.wav,angry
./kaggle/input\Dataset\angry\10_angry.wav,angry
./kaggle/input\Dataset\angry\110_angry.wav,angry
./kaggle/input\Dataset\angry\111_angry.wav,angry
./kaggle/input\Dataset\angry\112_angry.wav,angry
./kaggle/input\Dataset\angry\113_angry.wav,angry
./kaggle/input\Dataset\angry\114_angry.wav,angry
./kaggle/input\Dataset\angry\115_angry.wav,angry
./kaggle/input\Dataset\angry\116_angry.wav,angry
./kaggle/input\Dataset\angry\117_angry.wav,angry
./kaggle/input\Dataset\angry\118_angry.wav,angry
./kaggle/input\Dataset\angry\119_angry.wav,angry
./kaggle/input\Dataset\angry\11_angry.wav,angry
./kaggle/input\Dataset\angry\120_angry.wav,angry
./kaggle/input\Dataset\angry\121_angry.wav,angry
./kaggle/input\Dataset\angry\122_angry.wav,angry
./kaggle/input\Dataset\angry\123_angry.wav,angry
./kaggle/input\Dataset\angry\124_angry.wav,angry
./kaggle/input\Dataset\angry\125_angry.wav,angry
./kaggle/input\Dataset\angry\126_angry.wav,angry
./kaggle/input\Dataset\angry\127_angry.wav,angry
./kaggle/input\Dataset\angry\128_angry.wav,angry
./kaggle/input\Dataset\angry\129_angry.wav,angry
./kaggle/input\Dataset\angry\12_angry.wav,angry
./kaggle/input\Dataset\angry\130_angry.wav,angry
./kaggle/input\Dataset\angry\131_angry.wav,angry
./kaggle/input\Dataset\angry\132_angry.wav,angry
./kaggle/input\Dataset\angry\133_angry.wav,angry
./kaggle/input\Dataset\angry\134_angry.wav,angry
./kaggle/input\Dataset\angry\135_angry.wav,angry
./kaggle/input\Dataset\angry\136_angry.wav,angry
./kaggle/input\Dataset\angry\137_angry.wav,angry
./kaggle/input\Dataset\angry\138_angry.wav,angry
./kaggle/input\Dataset\angry\139_angry.wav,angry
./kaggle/input\Dataset\angry\13_angry.wav,angry
./kaggle/input\Dataset\angry\140_angry.wav,angry
./kaggle/input\Dataset\angry\141_angry.wav,angry
./kaggle/input\Dataset\angry\142_angry.wav,angry
./kaggle/input\Dataset\angry\143_angry.wav,angry
./kaggle/input\Dataset\angry\144_angry.wav,angry
./kaggle/input\Dataset\angry\145_angry.wav,angry
./kaggle/input\Dataset\angry\146_angry.wav,angry
./kaggle/input\Dataset\angry\147_angry.wav,angry
